id;vpaCustomerName
0;test
1;Arrow
2;AVNET
3;EBV
4;Future
5;Intron
6;Jingchuan
7;Macnica
8;Nexty
9;Rutronik
10;Silica
11;Tomen
12;Zollner
13;Jabil
14;Celestica
15;AESC
16;Autron
17;AVNET
18;BMW
19;BORGWARNER
20;BOSCH
21;BYD
22;CATL
23;CONTINENTAL
24;CUMMINS
25;DELPHI TECH
26;DELTA
27;DENSO
28;Diverse
29;DYSON
30;EBERSPAECHER
31;FCA
32;G-Pulse
33;HELLA
34;HERO
35;HITACHI
36;HUAWEI
37;HYUNDAI
38;Keihin
39;KOSTAL
40;LEAR
41;LG
42;MACNICA
43;MAGNA
44;MARELLI
45;MAHLE
46;NEXTY
47;NIO
48;OEM
49;Omron
50;PANASONIC
51;PREH
52;Punch PT
53;RENAULT
54;ROW
55;SAMSUNG
56;TOMEN
57;Transtron
58;UAES
59;VALEO
60;VISTEON
61;VW GROUP COMPONENTS
62;YAZAKI
63;ZF
64;ZOLLNER
65;Jabil
66;NIDEC
67;MOBIS
68;DANA/TM4
69;SEG Automotive
70;ABB
71;Mitsubishi Electric
72;Fukuta
73;Nidec PSA emotors
74;NIO
75;TDK
76;Inovance
77;Edrive
78;Shengshi
79;Schaeffler
80;Eaton
81;Imasen
82;BORGWARNER
83;VALEO SIEMENS JV
84;VITESCO
85;MSL Circuits
86;Agrale
87;Aiway
88;Ashok Leyland
89;Aston Martin
90;Audi
91;AvtoZAZ
92;BAIC
93;BJEV
94;BMW
95;Bollore
96;Bordrin
97;Borgward
98;Brilliance Auto
99;BYD
100;Caterham
101;Changan
102;Changfeng
103;CH-AUTO
104;Chery
105;China First Tractor
106;China Motor
107;CHJ
108;CNH Industrial
109;CNHTC
110;CRRC
111;DAF
112;Daihatsu
113;Daimler
114;Deutsche Post DHL Group
115;Dongfeng
116;Dorcen
117;Dyson
118;e.GO
119;Eicher Motors
120;Faraday Future
121;FAW
122;FCA
123;FDG
124;Ferrari
125;FMC
126;Foday
127;FOMM
128;Force Motors
129;Ford
130;Frazer-Nash
131;Fujian Forta
132;Fujian Motor Industry
133;GAC
134;GAZ Group
135;Geely
136;GLM
137;GM
138;Great Wall
139;Green Wheel EV
140;Guilin Bus
141;Guizhou Yuantong
142;Hainan Automobile
143;Hanteng Auto
144;Hawtai
145;Hengtian
146;Hengtong Bus
147;Hero
148;Hino
149;Honda
150;Hozon EV
151;Hubei
152;Hubei Sanhuan
153;Hyundai
154;ICM
155;ICONIQ
156;Iran Khodro
157;Isuzu
158;Jianghuai
159;Jiangling
160;Jihai
161;JLR
162;Joylong
163;Karma Automotive
164;Karsan
165;King Long
166;Leapmotor
167;Lifan
168;Linktour
169;Lucid Motors
170;Mahindra & Mahindra
171;Marcopolo
172;Mazda
173;McLaren
174;Minan Auto
175;Morgan
176;NEVS
177;NEXTEV
178;NIO
179;Nissan
180;Paccar
181;Perodua
182;Piaggio
183;Porsche
184;Premier
185;Proton
186;PSA
187;Qingling
188;Qoros
189;Renault
190;Rivian
191;SAIC
192;SAIPA
193;Shaanxi Auto
194;Shandong Tangjun Ouling
195;Shandong Wuzheng
196;Shanxi Yuhang
197;Shaolin Bus
198;Shuanghuan
199;Shuguang
200;Sichuan Nanjun
201;Sichuan Yema
202;Sichuan Yinhe Machinery
203;Singulato Motors
204;Sinogold
205;Sitech
206;Sollers
207;Soueast
208;Ssangyong
209;Subaru
210;Suda
211;Sunlong Bus
212;Suzuki
213;Tata
214;Tesla
215;Toyota
216;TPEV
217;TUBITAK
218;TVR
219;VinFast
220;Volkswagen
221;Volvo
222;Volvo Trucks
223;Weichai Power
224;WM Motor
225;WZL Motors
226;Xpeng EV
227;Youngman
228;Yulon
229;Zhengzhou Yutong
230;Zhongtong Bus
231;Zhongxing
232;Zotye
233;Cummins
234;OEM_Placeholder_002
235;OEM_Placeholder_003
236;MAMO FILLER
237;Stellantis